,Star_name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.0,1.0,274.2691614595739
1,Canopus,310.0,15.0,71.0,0.8161153386021839
2,Alpha Centauri,4.4,1.1,1.2,209.51116500384126
3,Arcturus,37.0,1.1,26.0,0.4462959727892475
4,Vega,25.0,2.2,2.7,82.76984296448046
5,Capella,43.0,2.6,12.0,4.952082081908975
6,Rigel,860.0,23.0,78.9,1.0133297854321701
7,Procyon,11.4,1.5,1.9,113.96225545411659
8,Achernar,144.0,6.7,9.3,21.246425965766498
9,Hadar,390.0,10.5,8.6,38.93761756794925
10,Altair,17.0,1.8,1.8,152.37175636642996
11,Acrux,320.0,18.0,8.9,62.32603088337749
12,Aldebaran,65.0,1.5,44.0,0.21250193294905007
13,Antares,600.0,12.0,680.0,0.0071177118025841
14,Spica,260.0,11.43,7.47,56.18003500809
15,Pollux,34.0,1.9,8.8,6.729227876719916
16,Fomalhaut,25.0,1.9,1.8,160.83685394234269
17,Mimosa,350.0,16.0,8.4,62.192553618951
18,Regulus,77.0,3.8,3.1,108.45190567600218
19,Adhara,430.0,12.5,14.0,17.491655705329972
20,Shaula,700.0,14.5,8.8,51.35463379602042
21,Castor,52.0,2.8,2.4,133.3252868206262
22,Gacrux,88.0,1.5,84.0,0.05830551901776656
23,Bellatrix,240.0,8.6,5.8,70.11637302474244
24,Elnath,130.0,5.0,4.2,77.74069202368877
25,Miaplacidus,110.0,3.5,6.8,20.759992757536963
26,Alnair,101.0,4.0,3.4,94.90282403445462
27,Alioth,81.0,2.9,4.2,45.089601373739484
28,Alnitak,1050.0,33.0,20.0,22.627205820414854
29,Dubhe,120.0,4.25,30.0,1.2951599291146547
30,Mirfak,590.0,8.5,68.0,0.5041712526830403
31,Sargas,270.0,5.7,26.0,2.3126245862715558
32,Kaus Australis,140.0,3.5,6.8,20.759992757536963
33,Avior,630.0,9.0,130.0,0.14606050018557193
34,Alkaid,104.0,6.1,3.4,144.7268066525433
35,Menkalinan,81.0,2.39,2.77,85.43097080483021
36,Atria,390.0,7.0,92.0,0.22682941046987445
37,Alhena,109.0,2.8,3.3,70.51915997124031
38,Peacock,180.0,5.9,4.8,70.23385645015132
39,Alsephina[2],80.0,2.4,2.9,78.26943965552645
40,Mirzam,500.0,13.5,10.0,37.0263367970425
41,Polaris,430.0,5.4,39.0,0.973736667903813
42,Alphard,180.0,3.0,50.0,0.32912299375148873
43,Scheat,196.0,2.1,95.0,0.0638188630543053
44,Almaaz,653.0,15.0,140.0,0.20989986846395964
45,Rasalgethi,360.0,2.8,280.0,0.00979532719498478
46,Tau Ceti,11.9,0.7829999999999999,0.893,269.2996711047934
47,Delta Pavonis,19.92,0.991,1.22,182.61269753187165
48,Ran,10.48,0.82,0.74,410.7025427261697
49,Delta Cephei,887.0,4.5,44.5,0.6232603088337749
50,Titawin,44.25,1.27,1.48,159.02202111653529
51,61 Cygni,11.41,0.7,0.665,434.14192553949175
52,Polaris Australis,281.0,1.59,3.74,31.17675417660804
53,54 Piscium,36.1,0.76,0.94,235.9037604224493
54,Mira,300.0,1.2,370.0,0.00240411244522636
55,Lacaille 8760,12.87,0.6,0.51,632.6854935630311
56,II Pegasi,130.0,0.8,3.4,18.98056480689093
57,Barnard's Star,5.98,0.14,0.2,959.9420651085088
58,Proxima Centauri,4.25,0.12,0.15,1462.7688611177273
59,Gliese 1214,47.5,0.16,0.21,995.0808579032164
60,VB 10,18.72,0.075,0.1,2057.0187109468047
61,TRAPPIST-1,39.6,0.08900000000000001,0.12,1695.1357895765334
62,2MASS J0523-1403,40.3,0.07,0.086,2595.8411711966182
63,SDSS J000013.54+255418.6 [de],46.1,0.045820224000000014,0.10173537,1214.2000569364611
64,2MASS J00040288-6410358,192.0,0.018137172,0.16750368999999998,177.29553270309611
65,2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1648.517250730695
66,2MASS J00274197+0503417,236.0,0.029592228,0.14797871999999998,370.6432628229708
67,2MASSW J0030300-145033,87.2,0.051547752,0.10070774,1393.9943359838126
68,2MASS J00332386-1521309 [de],131.0,0.027683052000000003,0.14695108999999998,351.59713187176385
69,2MASS J00345157+0523050,31.0,0.040092696000000004,0.09659721999999996,1178.454947179717
70,2MASS 0036+1821,28.6,0.040092696000000004,0.09659721999999996,1178.454947179717
71,2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.27872675245442
72,WISEP J004701.06+680352.1 [fr],40.0,0.011455056000000002,0.13359189999999999,176.04104671648304
73,2MASS J00501994-3322402 [de],34.0,0.03818352,0.09659721999999996,1122.3380449330639
74,2MASS J00584253-0651239 [de],96.0,0.027683052000000003,0.14695108999999998,351.59713187176385
75,2MASSI J0103320+193536,70.0,0.049638576,0.10070774,1342.3649161325598
76,SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.10070774,1342.3649161325598
77,2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.93802326300386
78,2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.292368446984
79,SDSS J015141.69+124429.6,70.0,0.044865635999999987,0.09968011,1238.4366334263514
80,SDSS J020742.48+000056.2 [de],111.0,0.044865635999999987,0.09968011,1238.4366334263514
81,2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.86484308965376
82,2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.93802326300386
83,2MASS J02411151-0326587 [de],152.0,0.025773876,0.14489582999999998,336.7014134799192
84,2MASS J02431371−2453298,35.0,0.031501404000000004,0.10173537,834.762539143817
85,LP 771-21,53.0,0.074457864,0.11098404,1657.9311541328586
86,Teegarden's star,12.578,0.07636704,0.13050900999999998,1229.707851079242
87,2MASS J02535980+3206373,184.0,0.06204822,0.1952497,446.4014077055786
88,WISE J0254+0223,24.0,0.06204822,0.1952497,446.4014077055786
89,DEN 0255-4700,16.2,0.07636704,0.09968011,2107.9772483852794
90,2MASS J03185403-3421292 [de],45.0,0.046774812,0.09968011,1291.1360646359838
